Name,Attribute,Level,Type,ATK,DEF,Description
Hiita the Fire Charmer,FIRE,Level 3,Spellcaster/Flip／Effect,500.0,1500.0,FLIP: Target 1 FIRE monster your opponent controls; take control of that target while this card is face-up on the field.
"Hiita the Fire Charmer, Ablaze",FIRE,,Spellcaster/Link／Effect,1850.0,,"2 monsters, including a FIRE monster(This card is always treated as a ""Familiar-Possessed"" card.)You can target 1 FIRE monster in your opponent's GY; Special Summon it to your zone this card points to. If this Link Summoned card is destroyed by battle, or is destroyed by an opponent's card effect while in its owner's Monster Zone: You can add 1 FIRE monster with 1500 or less DEF from your Deck to your hand. You can only use each effect of ""Hiita the Fire Charmer, Ablaze"" once per turn."
Hinezumi Hanabi,FIRE,Level 4,Beast/Effect,2000.0,200.0,"Cannot be used as a material for a Fusion, Synchro, Xyz, or Link Summon. If this card is Normal or Special Summoned: Place 6 counters on it. Once per turn, during your End Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card with a counter(s) changes: Roll a six-sided die, remove as many counters from this card as possible, up to the result, and if all of this card's counters are removed by this effect, destroy this card, and if you do, take 2000 damage."
Hino-Kagu-Tsuchi,FIRE,Level 8,Pyro/Spirit／Effect,2800.0,2900.0,"Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped face-up: Return it to the hand. If this card inflicts battle damage to your opponent: They discard their entire hand during the Draw Phase of the next turn, before the turn player draws."
Hinotama Soul,FIRE,Level 2,Pyro/Normal,600.0,500.0,An intensely hot flame creature that rams anything standing in its way.
Hip Hoshiningen,LIGHT,,Fairy/Link／Effect,1400.0,,"2 LIGHT monstersAll LIGHT monsters on the field gain 500 ATK/DEF, also all DARK monsters on the field lose 400 ATK/DEF. If this card is destroyed by battle or card effect: You can target 1 LIGHT monster in your GY; add it to your hand. You can only use this effect of ""Hip Hoshiningen"" once per turn."
Hiro's Shadow Scout,DARK,Level 2,Fiend/Flip／Effect,650.0,500.0,"FLIP: Your opponent draws 3 cards. Both players look at the cards. If there are any Spell Cards among them, discard all those Spell Card(s) to the Graveyard."
Hitotsu-Me Giant,EARTH,Level 4,Beast-Warrior/Normal,1200.0,1000.0,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows."
Hiyari @Ignister,WATER,Level 1,Cyberse/Effect,300.0,400.0,"If you control an ""@Ignister"" monster: You can Special Summon this card from your hand. You can Tribute 1 other Cyberse monster; add 1 Level 5 or higher ""@Ignister"" monster from your Deck to your hand, and if you do, this card becomes Level 4 until the end of this turn. Then, if you Tributed a Link Monster to activate this effect, you can add 1 ""A.I.'s Ritual"" from your Deck to your hand. You can only use each effect of ""Hiyari @Ignister"" once per turn."
Hojo the Vaylantz Warrior,WATER,Level 8,Spellcaster/Pendulum／Effect,1900.0,1900.0,"You can target 1 face-up card in either Spell & Trap Zone; return it to the hand. If this card in the Monster Zone moves to another Monster Zone (except during the Damage Step): You can Fusion Summon 1 ""Vaylantz"" Fusion Monster from your Extra Deck, using monsters from your hand, field, and/or Pendulum Zones. You can only use each effect of ""Hojo the Vaylantz Warrior"" once per turn."
Holding Arms,DARK,Level 4,Fiend/Effect,500.0,1200.0,"If this card is Normal or Special Summoned: Target 1 face-up monster your opponent controls; while this card is face-up on the field, that face-up monster cannot attack, also its effects are negated. While that face-up monster is on the field, this card cannot be destroyed by battle or card effects."
Holding Legs,DARK,Level 4,Fiend/Effect,800.0,600.0,"If this card is Summoned: Return all Set Spells/Traps on the field to the hand. You can banish this card from your GY, then target 1 Set Spell/Trap your opponent controls; it cannot be activated until the end of the next turn."
Homunculus the Alchemic Being,LIGHT,Level 4,Plant/Effect,1800.0,1600.0,Once per turn: You can change the Attribute of this card.
Honest,LIGHT,Level 4,Fairy/Effect,1100.0,1900.0,"During your Main Phase: You can return this face-up card from the field to the hand. During the Damage Step, when a LIGHT monster you control battles (Quick Effect): You can send this card from your hand to the GY; that monster gains ATK equal to the ATK of the opponent's monster it is battling, until the end of this turn."
Honeybot,LIGHT,,Cyberse/Link／Effect,1900.0,,"2 Cyberse monstersNeither player can target monsters this card points to with card effects, and those monsters cannot be destroyed by battle."
Hop Ear Squadron,WIND,Level 2,Beast/Tuner／Effect,300.0,600.0,"During your opponent's Main Phase (Quick Effect): You can target 1 face-up monster you control; Special Summon this card from your hand, and if you do, immediately after this effect resolves, Synchro Summon 1 Synchro Monster using only this card you control and that target. You can only use this effect of ""Hop Ear Squadron"" once per turn."
Horned Saurus,DARK,Level 6,Dinosaur/Fusion／Effect,2000.0,1800.0,"""Kaitoptera"" + 1 Dinosaur or Dragon monsterThis card can attack directly the turn it is Special Summoned. You can only use each of the following effects of ""Horned Saurus"" once per turn. If this card is Fusion Summoned: You can place 1 Field Spell from your Deck or GY face-up in your Field Zone. During your Main Phase, you can: Immediately after this effect resolves, Normal Summon 1 Dinosaur or Dragon monster."
Horse of the Floral Knights,WIND,Level 3,Beast/Effect,400.0,800.0,"If this card is Normal or Special Summoned: You can add 1 LIGHT ""Noble Knight"" monster from your Deck to your hand. You can only use this effect of ""Horse of the Floral Knights"" once per turn. Once per turn, during your Main Phase: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using this card you control and other monsters from your hand or field as Fusion Material."
Horseytail,WIND,Level 2,Plant/Effect,400.0,500.0,"When this card is destroyed by battle and sent to the Graveyard, Special Summon 1 ""Horseytail Token"" (Plant-Type/WIND/Level 1/ATK 0/DEF 0) to your opponent's side of the field in Defense Position. When this Token is destroyed by battle with a Plant-Type monster, its controller sends 1 card from their hand to the Graveyard."
Horus the Black Flame Deity,FIRE,Level 8,Dragon/Effect,3000.0,1800.0,"If you control a ""Horus"" monster and ""King's Sarcophagus"": You can reveal this card in your hand, then send 1 card from your hand or field to the GY; send 1 card on the field to the GY. If a face-up ""Horus"" monster(s) you control, except ""Horus the Black Flame Deity"", or a face-up ""King's Sarcophagus"" you control, leaves the field by an opponent's card effect (except during the Damage Step): You can Special Summon this card from your hand, then you can send all other monsters on the field to the GY. You can only use each effect of ""Horus the Black Flame Deity"" once per turn."
Horus the Black Flame Dragon LV4,FIRE,Level 4,Dragon/Effect,1600.0,1000.0,"Control of this face-up card cannot switch. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 ""Horus the Black Flame Dragon LV6"" from your hand or Deck."
Horus the Black Flame Dragon LV6,FIRE,Level 6,Dragon/Effect,2300.0,1600.0,"This card is unaffected by Spell effects. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 ""Horus the Black Flame Dragon LV8"" from your hand or Deck."
Horus the Black Flame Dragon LV8,FIRE,Level 8,Dragon/Effect,3000.0,1800.0,"Cannot be Normal Summoned/Set. Must be Special Summoned by ""Horus the Black Flame Dragon LV6"", and cannot be Special Summoned by other ways. During either player's turn, when a Spell Card is activated: You can negate the activation, and if you do, destroy it. You must control this face-up card to activate and to resolve this effect."
Horus' Servant,FIRE,Level 1,Beast-Warrior/Effect,100.0,100.0,"Your opponent cannot target face-up ""Horus the Black Flame Dragon"" monsters with Spells, Traps, or card effects."
Hoshiningen,LIGHT,Level 2,Fairy/Effect,500.0,700.0,"All LIGHT monsters on the field gain 500 ATK, also all DARK monsters on the field lose 400 ATK."
Hot Red Dragon Archfiend,DARK,Level 8,Dragon/Synchro／Effect,3000.0,2000.0,"1 Tuner + 1+ non-Tuner monstersOnce per turn, during your Main Phase 1: You can destroy all other face-up Attack Position monsters on the field. Other monsters cannot attack the turn you activate this effect."
Hot Red Dragon Archfiend Abyss,DARK,Level 9,Dragon/Synchro／Effect,3200.0,2500.0,"1 Tuner + 1 non-Tuner DARK Dragon Synchro Monster(Quick Effect): You can target 1 face-up card your opponent controls; negate its effects until the end of this turn. When this card inflicts battle damage to your opponent: You can target 1 Tuner in your GY; Special Summon it in Defense Position. You can only use each effect of ""Hot Red Dragon Archfiend Abyss"" once per turn."
Hot Red Dragon Archfiend Bane,DARK,Level 10,Dragon/Synchro／Effect,3500.0,3000.0,"1 Tuner + 1 non-Tuner DARK Dragon Synchro MonsterYou can Tribute 1 monster, then target 1 ""Red Dragon Archfiend"" monster in your GY; Special Summon it. When this card inflicts battle damage to your opponent: You can Special Summon 2 Tuners with the same Level (1 from your Deck and 1 from your GY) in Defense Position. You can only use each effect of ""Hot Red Dragon Archfiend Bane"" once per turn."
Hot Red Dragon Archfiend King Calamity,DARK,Level 12,Dragon/Synchro／Effect,4000.0,3500.0,"2 Tuners + 1 non-Tuner DARK Dragon Synchro MonsterWhen this card is Synchro Summoned: You can activate this effect; for the rest of this turn, your opponent cannot activate cards or effects on the field. Your opponent cannot activate cards or effects in response to this effect's activation. If this card destroys a monster by battle: Inflict damage to your opponent equal to that monster's original ATK. If this card in its owner's possession is destroyed by an opponent's card: You can target 1 Level 8 or lower DARK Dragon Synchro Monster in your GY; Special Summon it."
Hound of the Tistina,EARTH,Level 4,Aqua/Effect,1800.0,700.0,"If this card is in your hand or GY and you control a LIGHT ""Tistina"" monster: You can Special Summon this card. You can only use this effect of ""Hound of the Tistina"" once per turn. ""Tistina"" monsters you control can attack directly while your opponent controls a face-down Defense Position monster."
Hourglass of Courage,LIGHT,Level 4,Fairy/Effect,1100.0,1200.0,"If this card is Normal or Flip Summoned, its original ATK and DEF are halved until the End Phase of your next turn. After that, the original ATK and DEF are doubled."
Hourglass of Life,LIGHT,Level 2,Fairy/Normal,700.0,600.0,This creature grants power instead of shortening life.
House Dragonmaid,LIGHT,Level 9,Dragon/Fusion／Effect,3000.0,2000.0,"1 ""Dragonmaid"" monster + 1 Dragon monsterOnce per turn, during the Standby Phase: You can target 1 other ""Dragonmaid"" monster you control; Special Summon 1 ""Dragonmaid"" monster from your hand or GY in Defense Position, whose Level is 1 higher or 1 lower than it. When another face-up Dragon monster(s) you control returns to your hand (except during the Damage Step): You can target 1 monster your opponent controls; destroy it."
House Duston,LIGHT,Level 1,Fiend/Effect,0.0,1000.0,"When this face-up card on the field is destroyed by your opponent's card (either by battle, and it was face-up at the start of the Damage Step, or by card effect) and sent to the Graveyard: You can Special Summon any ""Duston"" monsters of your choice from your hand and/or Deck to anywhere on the field, but you must Special Summon an equal number of monsters on each side."
Howling Insect,EARTH,Level 3,Insect/Effect,1200.0,1300.0,When this card is destroyed by battle and sent to the GY: You can Special Summon 1 Insect monster with 1500 or less ATK from your Deck.
"Hraesvelgr, the Desperate Doom Eagle",WIND,,Winged Beast/Link／Effect,2400.0,,"2+ WIND monstersGains 2400 ATK while your opponent has no monsters in their GY. (Quick Effect): You can target 1 monster in your opponent's GY; shuffle it into the Deck. You can only use this effect of ""Hraesvelgr, the Desperate Doom Eagle"" once per turn."
Hrimnir the Divine Follower,LIGHT,Level 9,Fairy/Effect,2200.0,2200.0,"You can Tribute 3 Fairy monsters from your hand and/or field; Set 1 Continuous Spell from your Deck, but send it to the GY during your opponent's End Phase. If this card is sent to the GY by card effect: You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Hrimnir the Divine Follower"" once per turn."
HTS Psyhemuth,EARTH,Level 6,Psychic/Synchro／Effect,2400.0,1800.0,"1 Tuner + 1 or more non-Tuner monstersAfter damage calculation, when this card battles an opponent's monster: You can banish that monster, also banish this card."
Hu-Li the Jewel Mikanko,WIND,Level 3,Psychic/Effect,0.0,0.0,"If this card is not equipped with an Equip Card, you take no damage from battles involving this card. If this card is equipped with an Equip Card, it cannot be destroyed by battle and your opponent takes any battle damage you would have taken from battles involving this card. While you control an Equip Card, your opponent cannot target ""Mikanko"" cards you control with card effects. If either player equips an Equip Card(s) to this card: You can add 1 ""Mikanko"" Trap from your Deck to your hand. You can only use this effect of ""Hu-Li the Jewel Mikanko"" once per turn."
Hugin the Runick Wings,LIGHT,Level 2,Fairy/Fusion／Effect,0.0,0.0,"2 ""Runick"" monstersIf this card is Special Summoned from the Extra Deck: You can discard 1 card; add 1 ""Runick"" Field Spell from your Deck to your hand. If another card(s) you control would be destroyed by card effect, you can banish this card you control instead. If this card on the field is destroyed by battle or card effect: Return this card to the Extra Deck."
Humanoid Slime,WATER,Level 4,Aqua/Normal,800.0,2000.0,This slime apparently has some human genes in its genetic makeup.
Humanoid Worm Drake,WATER,Level 7,Aqua/Fusion,2200.0,2000.0,"""Worm Drake"" + ""Humanoid Slime"""
Humhumming the Key Djinn,WATER,Rank 3,Fiend/Xyz／Effect,1100.0,1800.0,"2 Level 3 monstersWhen this card is Special Summoned: You can target 1 ""Djinn"" Xyz Monster in your Graveyard; Special Summon it, then you can attach up to 2 cards from your hand to it as Xyz Materials. Once per turn: You can detach 1 Xyz Material from this card, then target 1 ""Djinn"" Xyz Monster you control; this turn, it can attack your opponent directly."
Humongous Hive Hegemon - Zexstagger,WIND,Level 8,Insect/Effect,1500.0,2600.0,"Gains 300 ATK for each Insect monster on the field, except this card. You can only use each of the following effects of ""Humongous Hive Hegemon - Zexstagger"" once per turn. If an Insect monster(s) is Special Summoned (except during the Damage Step): You can Special Summon this card from your hand. During the End Phase: Activate this effect; each player can Special Summon 1 Insect monster from their hand or GY, but negate its effects."
Humpty Grumpty,DARK,Level 3,Zombie/Effect,1400.0,0.0,Once per turn: You can change this card to face-down Defense Position. If this card is Flip Summoned: It gains 800 ATK until the end of this turn.
Hundred Dragon,WIND,Level 4,Dragon/Effect,1800.0,1000.0,"Once per turn: You can have this card gain Levels equal to the number of cards you control, and if you do, it gains 100 ATK for each Level gained. These changes last until the end of this turn. If this card is sent to the GY: You can target 1 face-up monster you control that was Special Summoned from the Extra Deck; the first time that face-up monster would be destroyed by battle or card effect, it is not destroyed. You can only use this effect of ""Hundred Dragon"" once per turn."
Hundred Eyes Dragon,DARK,Level 8,Dragon/Synchro／Effect,3000.0,2500.0,"1 DARK Tuner + 1+ non-Tuner Fiend monstersOnce per turn: You can banish 1 Level 6 or lower DARK Effect Monster from your GY; until the End Phase, this card's name becomes that monster's original name, and replace this effect with that monster's original effects. If this card is destroyed and sent to the GY: Add 1 ""Earthbound Immortal"" monster from your Deck to your hand."
Hundred-Footed Horror,DARK,Level 7,Insect/Effect,2600.0,1300.0,"If your opponent controls a monster and you control no monsters, you can Normal Summon this card without Tributing, but its original ATK becomes 1300."
Hungry Burger,DARK,Level 6,Warrior/Ritual,2000.0,1850.0,"You can Ritual Summon this card with ""Hamburger Recipe""."
Hunter Dragon,DARK,Level 3,Dragon/Normal,1700.0,100.0,"This dragon has taken down countless prey with its sharp fangs. It strikes very quickly, because if it does not strike first it is vulnerable to a counter-attack."
Hunter of Black Feathers,LIGHT,Level 4,Beast-Warrior/Effect,1700.0,1000.0,"While your opponent controls 2 or more face-up monsters, all of the same Type, you can send 1 card from your hand to the Graveyard to select and destroy 1 face-up monster your opponent controls."
Hunter Owl,WIND,Level 4,Winged Beast/Effect,1000.0,900.0,"This card gains 500 ATK for each face-up WIND monster you control. While you control another face-up WIND monster, your opponent cannot select this card as an attack target."
Hunter Spider,EARTH,Level 5,Insect/Normal,1600.0,1400.0,This monster feeds on whatever it catches in its web.
Hushed Psychic Cleric,EARTH,Level 3,Psychic/Effect,0.0,2100.0,"If this card is Normal or Flip Summoned: Change it to Defense Position. Once per turn: You can send 1 card from your hand to the Graveyard, then target 1 Psychic-Type monster in your Graveyard; banish that target. If this card is sent from the field to the Graveyard: Target 1 monster banished by this card's effect; Special Summon that target."
Hydra Viper,WATER,Level 4,Reptile/Effect,1800.0,400.0,"Each time this card declares an attack, you must Tribute 1 Aqua-Type monster. This card can attack 3 times during each Battle Phase."
Hydralander Orbit,DARK,Level 1,Machine/Effect,0.0,1500.0,"If you have 4 or more monsters in your GY and no monsters in your GY with the same name: You can Tribute this card; excavate the top cards of your Deck, equal to the number of monsters in your GY (or as many as possible), and if you do, if 2 or more monsters were excavated and all excavated monsters had different names, add 1 of those monsters to your hand, also place the remaining cards on top of your Deck in any order. You can banish this card from your GY, then target 1 monster in your GY; place it on the bottom of the Deck. You can only use each effect of ""Hydralander Orbit"" once per turn."
Hydro Genex,WATER,Level 6,Machine/Synchro／Effect,2300.0,1800.0,"""Genex Controller"" + 1 or more non-Tuner WATER monstersWhen this card destroys an opponent's monster by battle and sends it to the Graveyard, gain Life Points equal to the ATK of the destroyed monster."
Hydrogeddon,WATER,Level 4,Dinosaur/Effect,1600.0,1000.0,"When this card destroys an opponent's monster by battle and sends it to the GY: You can Special Summon 1 ""Hydrogeddon"" from your Deck."
Hydrojet Shark,WATER,Level 4,Fish/Effect,1000.0,0.0,"If a WATER Xyz Monster is on the field, you can Special Summon this card (from your hand), but you cannot Special Summon ""Hydrojet Shark"" for the rest of this turn. You can only use 1 of the following effects of ""Hydrojet Shark"" per turn, and only once that turn. During your Main Phase: You can send 1 Fish ""Shark"" monster or 1 ""Xyz"" Spell/Trap from your Deck to the GY. You can banish this card from your GY; add 1 ""Aqua Jet"" card from your Deck or GY to your hand."
"Hydrotortoise, the Empowered Warrior",WATER,Level 3,Warrior/Flip／Effect,1400.0,900.0,FLIP: Target 1 Spell/Trap Card your opponent controls; destroy it.
Hyena,EARTH,Level 3,Beast/Effect,1000.0,300.0,"When this card is destroyed by battle and sent to the Graveyard: You can Special Summon any number of ""Hyenas"" from your Deck."
Hyosube,WATER,Level 4,Aqua/Normal,1500.0,900.0,"This amphibian is strong on the attack, but leaves much to be desired when defending."
Hyozanryu,LIGHT,Level 7,Dragon/Normal,2100.0,2800.0,A dragon created from a massive diamond that sparkles with blinding light.
Hyper Hammerhead,EARTH,Level 4,Dinosaur/Effect,1500.0,1200.0,"At the end of the Damage Step, if an opponent's monster that battled this card is not destroyed: Return that opponent's monster to the hand."
Hyper Psychic Blaster,EARTH,Level 9,Psychic/Synchro／Effect,3000.0,2500.0,"1 Tuner + 1 or more non-Tuner Psychic-Type MonstersIf this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. At the end of the Damage Step, if this card attacked a Defense Position monster and that monster's DEF is lower than this card's ATK (use its original values if the other monster is no longer on the field): Gain LP equal to the surplus."
Hyper Psychic Blaster/Assault Mode,EARTH,Level 11,Psychic/Effect,3500.0,3000.0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Assault Mode Activate"". If this card battles a monster, at the end of the Damage Step, inflict damage to your opponent equal to that monster's DEF and gain Life Points equal to its ATK. When this card on the field is destroyed, you can Special Summon 1 ""Hyper Psychic Blaster"" from your Graveyard."
Hyper Psychic Riser,EARTH,Level 6,Psychic/Synchro／Effect,2000.0,600.0,"1 Tuner + 1+ non-Tuner monstersMonsters with less ATK than this card cannot attack, also neither player can activate the effects of face-up monsters on the field with more ATK than this card. If this card in your possession is destroyed by your opponent's card and sent to your GY: You can target 1 Tuner and 1 non-Tuner monster in your GY with the same Type and Attribute as each other; add them to your hand. You can only use this effect of ""Hyper Psychic Riser"" once per turn."
Hyper Synchron,LIGHT,Level 4,Machine/Tuner／Effect,1600.0,800.0,"If this card is sent to the Graveyard for the Synchro Summon of a Dragon-Type monster: That monster gains 800 ATK, also banish that face-up monster during the End Phase."
Hyper-Ancient Shark Megalodon,WATER,Level 8,Fish/Effect,2900.0,1300.0,When this card inflicts battle damage to your opponent: You can target 1 monster your opponent controls; destroy that target.
Hypnocorn,DARK,Level 4,Beast/Effect,1400.0,600.0,"When this card is Normal Summoned, if your opponent controls a monster and you control no other monsters: You can target 1 Set Spell/Trap Card on the field; destroy that target."
Hypnosister,WIND,Level 4,Psychic/Effect,1300.0,1400.0,"This card gains effects based on the total number of cards in both players' Pendulum Zones.●1 or more: This card gains 800 ATK and DEF.●2 or more: At the start of the Damage Step, if this card battles a Pendulum Summoned monster: Destroy that monster.●3 or more: Monsters your opponent controls must attack this card, if able.●4: If this card destroys a monster by battle or by its own effect: Draw 1 card."
Hysteric Fairy,LIGHT,Level 4,Fairy/Effect,1800.0,500.0,Offer 2 monsters on your side of the field as a Tribute to increase your Life Points by 1000 points.
I.A.S. -Invasive Alien Species-,LIGHT,Level 4,Reptile/Effect,1600.0,0.0,"Cannot be destroyed by battle or card effects while your opponent has a face-up card in their Field Zone. You can only use each of the following effects of ""I.A.S. -Invasive Alien Species-"" once per turn. If your opponent has a face-up card in their Field Zone: You can target 1 monster they control; destroy it, and if you do, this card gains 1000 ATK. If your opponent has a face-up card in their Field Zone, while this card is in your GY: You can Special Summon this card."
I:P Masquerena,DARK,,Cyberse/Link／Effect,800.0,,"2 non-Link MonstersDuring your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Link Summon 1 Link Monster using materials you control, including this card. You can only use this effect of ""I:P Masquerena"" once per turn. A Link Monster that used this card as material cannot be destroyed by your opponent's card effects."
Ib the World Chalice Justiciar,WATER,Level 5,Spellcaster/Synchro／Tuner／Effect,1800.0,2100.0,"1 Tuner + 1+ non-Tuner monstersFor this card's Synchro Summon, you can treat 1 ""World Chalice"" Normal Monster you control as a Tuner. You can only use each of the following effects of ""Ib the World Chalice Justiciar"" once per turn.●If this card is Synchro Summoned: You can add 1 ""World Legacy"" card from your Deck to your hand.●If this Synchro Summoned card is sent from the field to the GY: You can Special Summon 1 ""World Chalice"" monster from your Deck or GY, except ""Ib the World Chalice Justiciar""."
Ib the World Chalice Priestess,WATER,,Spellcaster/Link／Effect,1800.0,,"2 monsters with different Types and AttributesThis linked card cannot be destroyed by battle or card effects. Your opponent cannot target this linked card with card effects. If a monster(s) this card points to would be destroyed by a card effect, you can send this card to the GY instead. If this card is sent from the field to the GY: You can Special Summon 1 ""World Chalice"" monster from your hand."
Ibicella Lutea,EARTH,Level 4,Plant/Effect,1800.0,100.0,Cannot be destroyed by battle while you control another monster. Neither player can target face-up Spells/Traps you control with card effects.
Ice Beast Zerofyne,WATER,Rank 4,Winged Beast/Xyz／Effect,2000.0,2200.0,"2 Level 4 Winged Beast-Type monstersOnce per turn: You can detach 1 Xyz Material from this card; negate the effects of all face-up cards your opponent currently controls, and if you do, this card gains 300 ATK for each face-up card currently on the field, except this card (these effects are applied until your next Standby Phase)."
Ice Hand,WATER,Level 4,Aqua/Effect,1400.0,1600.0,"When this card in your possession is destroyed by your opponent's card and sent to your GY: You can target 1 Spell/Trap they control; destroy that target, then you can Special Summon 1 ""Fire Hand"" from your Deck."
Ice Knight,WATER,Level 4,Aqua/Effect,1300.0,1200.0,"Gains 400 ATK for each Aqua monster you control. Once per turn: You can activate this effect; you can Normal Summon 1 WATER monster during your Main Phase this turn, in addition to your Normal Summon/Set (you can only gain this effect once per turn), also you cannot Normal or Special Summon monsters for the rest of this turn, except WATER monsters."
Ice Master,WATER,Level 8,Spellcaster/Effect,2500.0,2000.0,You can Special Summon this card (from your hand) by Tributing 2 WATER monsters. Once per turn: You can target 1 face-up monster on the field; place an Ice Counter on that target. You can Tribute this card; destroy all monsters with an Ice Counter(s).
Ice Princess Zereort,WATER,Rank 5,Winged Beast/Xyz／Effect,2500.0,2100.0,"2 Level 5 Winged Beast-Type monstersYou can detach 1 Xyz Material from this card, then target 1 face-up monster your opponent controls; its ATK becomes 0."
Ice Queen,WATER,Level 8,Spellcaster/Effect,2900.0,2100.0,Cannot be Special Summoned from the Graveyard. When this face-up card you control is destroyed and sent to your Graveyard: You can target 1 Spell in your Graveyard; add that target to your hand. You must have 3 or more Spellcaster monsters in your Graveyard to activate and to resolve this effect.
Ice Ryzeal,LIGHT,Level 4,Pyro/Effect,1700.0,1000.0,"You can Special Summon this card (from your hand) by sending 1 card from your hand or field to the GY. If Summoned this way, you cannot Special Summon from the Extra Deck for the rest of this turn, except Rank 4 Xyz Monsters. You can only Special Summon ""Ice Ryzeal"" once per turn this way. If this card is Normal Summoned: You can Special Summon 1 ""Ryzeal"" monster from your Deck, except ""Ice Ryzeal"". You can only use this effect of ""Ice Ryzeal"" once per turn."
Icejade Acti,WATER,Level 4,Aqua/Effect,1000.0,1000.0,"If this card is Normal or Special Summoned: You can send 1 WATER monster from your hand to the GY; draw 1 card. If a face-up WATER monster(s) you control is destroyed by battle or card effect, while this card is in your GY: You can banish this card; Special Summon 1 ""Icejade"" monster from your hand or GY, except ""Icejade Acti"". You can only use each effect of ""Icejade Acti"" once per turn."
Icejade Aegirine,WATER,Level 3,Aqua/Effect,1000.0,2000.0,"If this card is Normal or Special Summoned: You can add 1 ""Icejade"" Spell/Trap from your Deck to your hand. When your opponent activates a card or effect that targets this card, or targets this card for an attack (Quick Effect): You can activate this effect; the next time this card would be destroyed by battle or card effect this turn, it is not destroyed, also Special Summon 1 WATER monster from your hand or GY, except ""Icejade Aegirine"", but return it to the hand during the End Phase. You can only use each effect of ""Icejade Aegirine"" once per turn."
Icejade Creation Aegirocassis,WATER,Level 7,Aqua/Tuner／Effect,2000.0,2000.0,"While this card is equipped to a monster, the equipped monster gains 400 ATK/DEF for each banished monster. You can only use 1 of the following effects of ""Icejade Creation Aegirocassis"" per turn, and only once that turn. If this card is in your hand or GY (except during the Damage Step) (Quick Effect): You can target 1 ""Icejade"" monster you control; equip this card to that monster you control. While this card is equipped to a monster: You can Special Summon this card."
Icejade Creation Kingfisher,WATER,Level 9,Aqua/Effect,2500.0,2500.0,"You can target 1 WATER monster you control; equip this card from your hand or field to it. An ""Icejade"" monster equipped with this card can attack while in Defense Position. If it does, apply its DEF for damage calculation. While this card is equipped to a monster: You can target 1 monster your opponent controls with ATK less than or equal to the equipped monster's DEF; Special Summon this card, and if you do, return that targeted monster to the hand. You can only use this effect of ""Icejade Creation Kingfisher"" once per turn."
Icejade Gymir Aegirine,WATER,Level 10,Aqua/Synchro／Effect,3000.0,1500.0,"1 WATER Tuner + 1+ non-Tuner monsters(Quick Effect): You can activate this effect; face-up monsters you control cannot be destroyed, or banished, by your opponent's card effects this turn. Then, if you activated this effect in response to your opponent's card or effect activation, and your opponent has a card(s) with that name on their field and/or GY, you can banish those cards. If a card(s) is banished by your opponent's card effect, while this card is in your GY (except during the Damage Step): You can Special Summon this card. You can only use each effect of ""Icejade Gymir Aegirine"" once per turn."
Icejade Kosmochlor,WATER,Level 10,Aqua/Effect,1500.0,3000.0,"If a face-up card is in a Field Zone, you can Special Summon this card (from your hand). You can only Special Summon ""Icejade Kosmochlor"" once per turn this way. While ""Icejade Cenote Enion Cradle"" is on the field, monsters your opponent controls can only activate their effects the turn they are Summoned. If your ""Icejade"" monster battles an opponent's monster, that opponent's monster loses 1000 ATK during that damage calculation only."
Icejade Ran Aegirine,WATER,Level 7,Aqua/Tuner／Effect,1500.0,2500.0,"This card's name becomes ""Icejade Cenote Enion Cradle"" while equipped with an Equip Card. You can discard 1 other ""Icejade"" card or WATER monster; Special Summon this card from your hand, then you can Special Summon 1 ""Icejade Token"" (Aqua/WATER/Level 3/ATK 0/DEF 0). While that Token is in the Monster Zone, the player who Summoned it cannot Special Summon from the Extra Deck, except WATER monsters. You can only use this effect of ""Icejade Ran Aegirine"" once per turn."
Icejade Tinola,WATER,Level 4,Aqua/Effect,1000.0,1000.0,"You can send 1 card from your hand to the GY, then target 1 WATER monster in your GY; send this card from the field to the GY, and if you do, Special Summon the targeted monster. If a face-up WATER monster(s) you control is destroyed by battle or card effect, while this card is in your GY: You can banish this card; Special Summon 1 ""Icejade"" monster from your hand or GY, except ""Icejade Tinola"". You can only use each effect of ""Icejade Tinola"" once per turn."
Icejade Tremora,WATER,Level 5,Aqua/Effect,1500.0,1500.0,"You can send this card from your hand to the GY; Special Summon 1 WATER monster from your hand. If a face-up WATER monster(s) you control is destroyed by battle or card effect, while this card is in your GY: You can banish this card; Special Summon 1 ""Icejade"" monster from your hand or GY, except ""Icejade Tremora"". You can only use each effect of ""Icejade Tremora"" once per turn."
